GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US06001428700,06001428700,"Census Tract 4287, Alameda County, California",51607,13439
1400000US06001430101,06001430101,"Census Tract 4301.01, Alameda County, California",123681,13045
1400000US06001430102,06001430102,"Census Tract 4301.02, Alameda County, California",102353,36335
1400000US06001430200,06001430200,"Census Tract 4302, Alameda County, California",110885,13278
1400000US06001430300,06001430300,"Census Tract 4303, Alameda County, California",88259,19398
1400000US06001430400,06001430400,"Census Tract 4304, Alameda County, California",105714,21397
1400000US06001430500,06001430500,"Census Tract 4305, Alameda County, California",56336,13099
1400000US06001430600,06001430600,"Census Tract 4306, Alameda County, California",95750,14343
1400000US06001430700,06001430700,"Census Tract 4307, Alameda County, California",99554,15176
1400000US06001430800,06001430800,"Census Tract 4308, Alameda County, California",75486,18495
1400000US06001430900,06001430900,"Census Tract 4309, Alameda County, California",57132,7467
1400000US06001431000,06001431000,"Census Tract 4310, Alameda County, California",60300,16557
1400000US06001431100,06001431100,"Census Tract 4311, Alameda County, California",53651,11765
1400000US06001431200,06001431200,"Census Tract 4312, Alameda County, California",50250,15291
1400000US06001432100,06001432100,"Census Tract 4321, Alameda County, California",103281,25601
1400000US06001432200,06001432200,"Census Tract 4322, Alameda County, California",60411,5970
1400000US06001432300,06001432300,"Census Tract 4323, Alameda County, California",73226,11849
1400000US06001432400,06001432400,"Census Tract 4324, Alameda County, California",57911,12560
1400000US06001432501,06001432501,"Census Tract 4325.01, Alameda County, California",58232,8617
1400000US06001432502,06001432502,"Census Tract 4325.02, Alameda County, California",58953,9639
1400000US06001432600,06001432600,"Census Tract 4326, Alameda County, California",60000,5777
1400000US06001432700,06001432700,"Census Tract 4327, Alameda County, California",87043,19911
1400000US06001432800,06001432800,"Census Tract 4328, Alameda County, California",84609,9272
1400000US06001433000,06001433000,"Census Tract 4330, Alameda County, California",72063,12375
1400000US06001433102,06001433102,"Census Tract 4331.02, Alameda County, California",68387,7082
1400000US06001433103,06001433103,"Census Tract 4331.03, Alameda County, California",51714,8238
1400000US06001433104,06001433104,"Census Tract 4331.04, Alameda County, California",44979,9678
1400000US06001433200,06001433200,"Census Tract 4332, Alameda County, California",50747,12595
1400000US06001433300,06001433300,"Census Tract 4333, Alameda County, California",62627,7906
1400000US06001433400,06001433400,"Census Tract 4334, Alameda County, California",87581,8076
1400000US06001433500,06001433500,"Census Tract 4335, Alameda County, California",78182,13281
1400000US06001433600,06001433600,"Census Tract 4336, Alameda County, California",62244,15555
1400000US06001433700,06001433700,"Census Tract 4337, Alameda County, California",57472,5632
1400000US06001433800,06001433800,"Census Tract 4338, Alameda County, California",49690,6317
1400000US06001433900,06001433900,"Census Tract 4339, Alameda County, California",37935,13624
1400000US06001434000,06001434000,"Census Tract 4340, Alameda County, California",40655,7062
1400000US06001435102,06001435102,"Census Tract 4351.02, Alameda County, California",105300,13316
1400000US06001435103,06001435103,"Census Tract 4351.03, Alameda County, California",152083,24697
1400000US06001435104,06001435104,"Census Tract 4351.04, Alameda County, California",49649,9803
1400000US06001435200,06001435200,"Census Tract 4352, Alameda County, California",83641,13316
1400000US06001435300,06001435300,"Census Tract 4353, Alameda County, California",59179,10797
1400000US06001435400,06001435400,"Census Tract 4354, Alameda County, California",53275,6014
1400000US06001435500,06001435500,"Census Tract 4355, Alameda County, California",46818,5461
1400000US06001435601,06001435601,"Census Tract 4356.01, Alameda County, California",41651,7334
1400000US06001435602,06001435602,"Census Tract 4356.02, Alameda County, California",57500,9217
1400000US06001435700,06001435700,"Census Tract 4357, Alameda County, California",69271,9958
1400000US06001435800,06001435800,"Census Tract 4358, Alameda County, California",69962,7633
1400000US06001435900,06001435900,"Census Tract 4359, Alameda County, California",81230,8411
1400000US06001436000,06001436000,"Census Tract 4360, Alameda County, California",81250,9704
1400000US06001436100,06001436100,"Census Tract 4361, Alameda County, California",66540,7658
1400000US06001436200,06001436200,"Census Tract 4362, Alameda County, California",43109,3771
1400000US06001436300,06001436300,"Census Tract 4363, Alameda County, California",49790,7521
1400000US06001436401,06001436401,"Census Tract 4364.01, Alameda County, California",73224,9112
1400000US06001436402,06001436402,"Census Tract 4364.02, Alameda County, California",115833,9613
1400000US06001436500,06001436500,"Census Tract 4365, Alameda County, California",48942,5211
1400000US06001436601,06001436601,"Census Tract 4366.01, Alameda County, California",58265,8232
1400000US06001436602,06001436602,"Census Tract 4366.02, Alameda County, California",54541,7618
1400000US06001436700,06001436700,"Census Tract 4367, Alameda County, California",66087,15500
1400000US06001436800,06001436800,"Census Tract 4368, Alameda County, California",52033,11258
1400000US06001436900,06001436900,"Census Tract 4369, Alameda County, California",56476,4121
1400000US06001437000,06001437000,"Census Tract 4370, Alameda County, California",64167,9629
1400000US06001437101,06001437101,"Census Tract 4371.01, Alameda County, California",102396,9534
1400000US06001437102,06001437102,"Census Tract 4371.02, Alameda County, California",60075,11598
1400000US06001437200,06001437200,"Census Tract 4372, Alameda County, California",65492,9595
1400000US06001437300,06001437300,"Census Tract 4373, Alameda County, California",52042,19152
1400000US06001437400,06001437400,"Census Tract 4374, Alameda County, California",70792,12245
1400000US06001437500,06001437500,"Census Tract 4375, Alameda County, California",45094,7369
1400000US06001437600,06001437600,"Census Tract 4376, Alameda County, California",63750,12846
1400000US06001437701,06001437701,"Census Tract 4377.01, Alameda County, California",44138,8518
1400000US06001437702,06001437702,"Census Tract 4377.02, Alameda County, California",39667,8306
1400000US06001437800,06001437800,"Census Tract 4378, Alameda County, California",77977,4785
1400000US06001437900,06001437900,"Census Tract 4379, Alameda County, California",52961,5658
1400000US06001438000,06001438000,"Census Tract 4380, Alameda County, California",68578,9522
1400000US06001438100,06001438100,"Census Tract 4381, Alameda County, California",82331,17944
1400000US06001438201,06001438201,"Census Tract 4382.01, Alameda County, California",61898,13409
1400000US06001438203,06001438203,"Census Tract 4382.03, Alameda County, California",76722,21589
1400000US06001438204,06001438204,"Census Tract 4382.04, Alameda County, California",61935,12383
1400000US06001438300,06001438300,"Census Tract 4383, Alameda County, California",76098,6919
1400000US06001438400,06001438400,"Census Tract 4384, Alameda County, California",73393,11243
1400000US06001440100,06001440100,"Census Tract 4401, Alameda County, California",67038,6493
1400000US06001440200,06001440200,"Census Tract 4402, Alameda County, California",58375,6813
1400000US06001440301,06001440301,"Census Tract 4403.01, Alameda County, California",70804,14804
1400000US06001440304,06001440304,"Census Tract 4403.04, Alameda County, California",85750,12974
1400000US06001440305,06001440305,"Census Tract 4403.05, Alameda County, California",96531,5465
1400000US06001440306,06001440306,"Census Tract 4403.06, Alameda County, California",82137,18847
1400000US06001440307,06001440307,"Census Tract 4403.07, Alameda County, California",50664,9154
1400000US06001440308,06001440308,"Census Tract 4403.08, Alameda County, California",55625,20056
1400000US06001440331,06001440331,"Census Tract 4403.31, Alameda County, California",66607,16840
1400000US06001440332,06001440332,"Census Tract 4403.32, Alameda County, California",159063,10872
1400000US06001440333,06001440333,"Census Tract 4403.33, Alameda County, California",110500,20142
1400000US06001440334,06001440334,"Census Tract 4403.34, Alameda County, California",111797,11631
1400000US06001440335,06001440335,"Census Tract 4403.35, Alameda County, California",123818,19208
1400000US06001440336,06001440336,"Census Tract 4403.36, Alameda County, California",69487,13280
1400000US06001441100,06001441100,"Census Tract 4411, Alameda County, California",86813,10113
1400000US06001441200,06001441200,"Census Tract 4412, Alameda County, California",106180,17364
1400000US06001441301,06001441301,"Census Tract 4413.01, Alameda County, California",122692,20419
1400000US06001441302,06001441302,"Census Tract 4413.02, Alameda County, California",102171,10952
1400000US06001441401,06001441401,"Census Tract 4414.01, Alameda County, California",105055,9282
1400000US06001441402,06001441402,"Census Tract 4414.02, Alameda County, California",109464,14514
1400000US06001441501,06001441501,"Census Tract 4415.01, Alameda County, California",121574,12571
1400000US06001441503,06001441503,"Census Tract 4415.03, Alameda County, California",146389,16693
1400000US06001441521,06001441521,"Census Tract 4415.21, Alameda County, California",123205,11547
1400000US06001441522,06001441522,"Census Tract 4415.22, Alameda County, California",83631,12685
1400000US06001441523,06001441523,"Census Tract 4415.23, Alameda County, California",108381,7883
