,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
45,1400000US06037106114,6,37,106114,6037106114,1061.14,CT,1011117,3298,18037550502,1379632.843,19,18,South Coast,5729,3993,289,53,149,0,3993,1321.819263,0.696980276,0.303019724,11.48001295
62,1400000US06037107010,6,37,107010,6037107010,1070.1,CT,684671,0,18037550502,1379632.843,19,18,South Coast,3175,2268,0,25,51,8,2268,-474.8764666,0.714330709,0.285669291,11.50009617
104,1400000US06037113401,6,37,113401,6037113401,1134.01,CT,2451817,0,18037550502,1379632.843,19,18,South Coast,5741,3323,272,8,782,0,3323,647.6018672,0.578819021,0.421180979,13.06565066
144,1400000US06037120010,6,37,120010,6037120010,1200.1,CT,553982,11621,18037550502,1379632.843,19,18,South Coast,2896,1425,99,0,346,12,1425,-1293.316338,0.492058011,0.507941989,12.87237551
167,1400000US06037122120,6,37,122120,6037122120,1221.2,CT,719824,0,18037550502,1379632.843,19,18,South Coast,4671,3921,71,54,267,0,3921,1195.737363,0.839434811,0.160565189,12.21004305
171,1400000US06037122410,6,37,122410,6037122410,1224.1,CT,706999,0,18037550502,1379632.843,19,18,South Coast,3788,1627,205,156,153,0,1627,-1065.019634,0.429514256,0.570485744,12.41786542
201,1400000US06037124204,6,37,124204,6037124204,1242.04,CT,324351,0,18037550502,1379632.843,19,18,South Coast,3227,2151,169,41,154,42,2151,-549.9505901,0.666563372,0.333436628,12.38149837
223,1400000US06037127300,6,37,127300,6037127300,1273,CT,1059237,0,18037550502,1379632.843,19,18,South Coast,4527,2002,456,0,504,0,2002,-627.7510247,0.442235476,0.557764524,12.87237551
245,1400000US06037128500,6,37,128500,6037128500,1285,CT,973791,0,18037550502,1379632.843,19,18,South Coast,4489,3355,372,0,372,0,3355,704.4100782,0.747382491,0.252617509,12.94477536
279,1400000US06037134201,6,37,134201,6037134201,1342.01,CT,1459395,7345,18037550502,1379632.843,19,18,South Coast,4406,1840,187,173,520,0,1840,-856.4851121,0.417612347,0.582387653,13.22808081
293,1400000US06037134720,6,37,134720,6037134720,1347.2,CT,989535,0,18037550502,1379632.843,19,18,South Coast,4802,1845,209,33,823,10,1845,-846.0273057,0.38421491,0.61578509,13.57968164
310,1400000US06037137301,6,37,137301,6037137301,1373.01,CT,1601322,8359,18037550502,1379632.843,19,18,South Coast,2236,1594,12,23,427,0,1594,-1145.899481,0.712880143,0.287119857,13.03197402
351,1400000US06037143603,6,37,143603,6037143603,1436.03,CT,491489,33975,18037550502,1379632.843,19,18,South Coast,2229,1658,172,29,144,0,1658,-1042.206344,0.743831314,0.256168686,12.38412199
417,1400000US06037190100,6,37,190100,6037190100,1901,CT,600603,0,18037550502,1379632.843,19,18,South Coast,4788,3258,457,56,281,0,3258,628.4970575,0.680451128,0.319548872,12.04020341
420,1400000US06037190301,6,37,190301,6037190301,1903.01,CT,403361,0,18037550502,1379632.843,19,18,South Coast,4942,3620,259,112,229,0,3620,941.3767998,0.732496965,0.267503035,11.92196718
439,1400000US06037191420,6,37,191420,6037191420,1914.2,CT,227178,0,18037550502,1379632.843,19,18,South Coast,3981,1566,147,27,707,0,1566,-1140.408396,0.3933685,0.6066315,11.63710731
