site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
2420,-,2016-04-30,12,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,13,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,14,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,15,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,16,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,17,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,18,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,19,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,20,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,21,19.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,22,19.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,23,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
3502,-,2016-04-30,0,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,1,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,2,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,3,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,4,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,5,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,6,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,7,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,8,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,9,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,10,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,11,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,12,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,13,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,14,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,15,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,16,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,17,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,18,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,19,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,20,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,21,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,22,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3502,-,2016-04-30,23,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
3679,-,2016-04-30,0,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,1,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,2,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,3,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,4,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,5,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,6,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,7,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,8,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,9,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,10,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,11,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,12,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,13,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,14,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,15,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,16,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,17,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,18,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,19,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,20,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,21,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,22,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3679,-,2016-04-30,23,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,South Long Beach 
3674,-,2016-04-30,0,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Anaheim-Pampas Lane 
